"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;
"#Cassius_JC,""#Brutus_JC"",0.242857176348163,101,""It is not for your health thus to commit Your weak condition to the raw cold morning."",""The morning comes upon 's.""";;
"#Cassius_JC,""#Brutus_JC"",0.247846480351062,3,""Let me not hinder, Cassius, your desires."",""Fellow, come from the throng.""";;
"#Cassius_JC,""#Brutus_JC"",0.249025864350715,2,""I do lack some part Of that quick spirit that is in Antony."",""Fellow, come from the throng.""";;
"#Cassius_JC,""#Brutus_JC"",0.260415852298712,60,""Go to the gate";" somebody knocks."",""Fellow, come from the throng.""";
"#Cassius_JC,""#Brutus_JC"",0.267572777108577,55,""Such instigations have been often dropped Where I have took them up."",""Those that with haste will make a mighty fire Begin it with weak straws.""";;
"#Cassius_JC,""#Brutus_JC"",0.272978997056202,70,""Give me your hands all over, one by one."",""You bear too stubborn and too strange a hand Over your friend that loves you.""";;
"#Cassius_JC,""#Brutus_JC"",0.276324528558467,98,""Enjoy the honey-heavy dew of slumber."",""The morning comes upon 's.""";;
"#Cassius_JC,""#Brutus_JC"",0.281628745759799,118,""Press near and second him."",""As they pass by, pluck Casca by the sleeve, And he will, after his sour fashion, tell you What hath proceeded worthy note today.""";;
"#Cassius_JC,""#Brutus_JC"",0.29328415168612,131,""I never thought him worse."",""I did hear him groan.""";;
"#Cassius_JC,""#Brutus_JC"",0.294473748953429,125,""Grant that, and then is death a benefit."",""Yet I see Thy honorable mettle may be wrought From that it is disposed.""";;
"#Cassius_JC,""#Portia_JC"",0.206769358377939,24,""Can I bear that with patience, And not my husband's secrets?"",""And be not jealous on me, gentle Brutus.""";;
"#Cassius_JC,""#Portia_JC"",0.230707688813945,22,""Tell me your counsels";" I will not disclose 'em."",""And be not jealous on me, gentle Brutus.""";
"#Cassius_JC,""#Portia_JC"",0.232513398356193,18,""If this were true, then should I know this secret."",""'Tis Cinna";" I do know him by his gait.""";
"#Cassius_JC,""#Portia_JC"",0.256659736528536,6,""It will not let you eat nor talk nor sleep, And could it work so much upon your shape As it hath much prevailed on your condition, I should not know you Brutus."",""Tell me, good Brutus, can you see your face?""";;
"#Cassius_JC,""#Portia_JC"",0.270025621652145,30,""How hard it is for women to keep counsel!"",""I perhaps speak this Before a willing bondman";" then, I know My answer must be made.""";
"#Cassius_JC,""#Portia_JC"",0.292140848896373,20,""I grant I am a woman, but withal A woman well-reputed, Cato's daughter."",""Then, Brutus, I have much mistook your passion, By means whereof this breast of mine hath buried Thoughts of great value, worthy cogitations.""";;
"#Cassius_JC,""#Portia_JC"",0.3070975520597,25,""I prithee, boy, run to the Senate House."",""Therein, you gods, you make the weak most strong";" Therein, you gods, you tyrants do defeat.""";
"#Cassius_JC,""#Portia_JC"",0.318223945075108,3,""I urged you further";" then you scratched your head And too impatiently stamped with your foot."",""Were I a common laughter, or did use To stale with ordinary oaths my love To every new protester";" if you know That I do fawn on men and hug them hard And after scandal them, or if you know That I profess myself in banqueting To all the rout, then hold me dangerous."""
"#Cassius_JC,""#Portia_JC"",0.324040325043807,16,""Dwell I but in the suburbs Of your good pleasure?"",""If I know this, know all the world besides, That part of tyranny that I do bear I can shake off at pleasure.""";;
"#Cassius_JC,""#Portia_JC"",0.326871584152483,33,""Hark, boy, what noise is that?"",""I did hear him groan.""";;
"#Cassius_JC,""#Casca_JC"",0.265513904754992,53,""Indeed, he is not fit."",""He had a fever when he was in Spain, And when the fit was on him, I did mark How he did shake.""";;
"#Cassius_JC,""#Casca_JC"",0.279917602025235,51,""Some two months hence, up higher toward the north He first presents his fire, and the high east Stands, as the Capitol, directly here."",""So is he now in execution Of any bold or noble enterprise, However he puts on this tardy form.""";;
"#Cassius_JC,""#Casca_JC"",0.310248172291183,50,""Here, as I point my sword, the sun arises, Which is a great way growing on the south, Weighing the youthful season of the year."",""You gods, it doth amaze me A man of such a feeble temper should So get the start of the majestic world And bear the palm alone.""";;
"#Cassius_JC,""#Casca_JC"",0.315009832425854,39,""Who ever knew the heavens menace so?"",""Till then, think of the world.""";;
"#Cassius_JC,""#Casca_JC"",0.317702678319589,55,""Why, he that cuts off twenty years of life Cuts off so many years of fearing death."",""Yet I fear him, For in the engrafted love he bears to Caesar -""";;
"#Cassius_JC,""#Casca_JC"",0.322866686077471,35,""And yesterday the bird of night did sit Even at noonday upon the marketplace, Hooting and shrieking."",""I will this night In several hands in at his windows throw, As if they came from several citizens, Writings, all tending to the great opinion That Rome holds of his name, wherein obscurely Caesar's ambition shall be glancèd at And after this, let Caesar seat him sure, For we will shake him, or worse days endure.""";;
"#Cassius_JC,""#Casca_JC"",0.334208351433399,49,""You shall confess that you are both deceived."",""Then, Brutus, I have much mistook your passion, By means whereof this breast of mine hath buried Thoughts of great value, worthy cogitations.""";;
"#Cassius_JC,""#Casca_JC"",0.341246871010477,3,""Would you speak with me?"",""I have not from your eyes that gentleness And show of love as I was wont to have.""";;
"#Cassius_JC,""#Casca_JC"",0.341301417109994,4,""Why, you were with him, were you not?"",""He had a fever when he was in Spain, And when the fit was on him, I did mark How he did shake.""";;
"#Cassius_JC,""#Casca_JC"",0.343847285328116,7,""I can as well be hanged as tell the manner of it."",""Tell me, good Brutus, can you see your face?""";;
"#Cassius_JC,""#Antony_JC"",0.2675038349932,38,""Post back with speed and tell him what hath chanced."",""Let us go, For it is after midnight, and ere day We will awake him and be sure of him.""";;
"#Cassius_JC,""#Antony_JC"",0.276748980662831,17,""My credit now stands on such slippery ground That one of two bad ways you must conceit me, Either a coward or a flatterer."",""Were I a common laughter, or did use To stale with ordinary oaths my love To every new protester";" if you know That I do fawn on men and hug them hard And after scandal them, or if you know That I profess myself in banqueting To all the rout, then hold me dangerous.""";
"#Cassius_JC,""#Antony_JC"",0.316339829768266,11,""I doubt not of your wisdom."",""Then must I think you would not have it so.""";;
"#Cassius_JC,""#Antony_JC"",0.340803607047508,9,""I do beseech you, if you bear me hard, Now, whilst your purpled hands do reek and smoke, Fulfill your pleasure."",""You gods, it doth amaze me A man of such a feeble temper should So get the start of the majestic world And bear the palm alone.""";;
"#Cassius_JC,""#Antony_JC"",0.360702366113625,32,""Woe to the hand that shed this costly blood!"",""Rome, thou hast lost the breed of noble bloods!""";;
"#Cassius_JC,""#Antony_JC"",0.367154045804828,40,""Hie hence and tell him so."",""Let us go, For it is after midnight, and ere day We will awake him and be sure of him.""";;
"#Cassius_JC,""#Antony_JC"",0.368503237975058,6,""Are all thy conquests, glories, triumphs, spoils Shrunk to this little measure?"",""Rome, thou hast lost the breed of noble bloods!""";;
"#Cassius_JC,""#Antony_JC"",0.369415907155701,29,""I do desire no more."",""I fear our purpose is discoverèd.""";;
"#Cassius_JC,""#Antony_JC"",0.372779615213854,28,""That's all I seek";" And am, moreover, suitor that I may Produce his body to the marketplace, And in the pulpit, as becomes a friend, Speak in the order of his funeral."",""But, O grief, Where hast thou led me?""";
"#Cassius_JC,""#Antony_JC"",0.374195977581948,20,""- in the presence of thy corpse?"",""But, O grief, Where hast thou led me?""";;
