"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;;;;
"#Brutus_JC,""#Caesar_JC"",0.61605294771864,52,""- Caius Ligarius, Caesar was ne'er so much your enemy As that same ague which hath made you lean."",""Our course will seem too bloody, Caius Cassius, To cut the head off and then hack the limbs, Like wrath in death and envy afterwards";" For Antony is but a limb of Caesar.""";;;;
"#Brutus_JC,""#Caesar_JC"",0.61991140135359,31,""And Caesar shall go forth."",""But, alas, Caesar must bleed for it.""";;;;;
"#Brutus_JC,""#Caesar_JC"",0.621954639910675,63,""I must prevent thee, Cimber."",""Then, lest he may, prevent.""";;;;;
"#Brutus_JC,""#Caesar_JC"",0.622856292038745,37,""Shall Caesar send a lie?"",""If he love Caesar, all that he can do Is to himself: take thought and die for Caesar.""";;;;;
"#Brutus_JC,""#Caesar_JC"",0.625722332482364,62,""What is now amiss That Caesar and his Senate must redress?"",""But, alas, Caesar must bleed for it.""";;;;;
"#Brutus_JC,""#Caesar_JC"",0.651238853139267,12,""Yet if my name were liable to fear, I do not know the man I should avoid So soon as that spare Cassius."",""Let me not hinder, Cassius, your desires.""";;;;;
"#Brutus_JC,""#Caesar_JC"",0.685186688296182,65,""Be not fond To think that Caesar bears such rebel blood That will be thawed from the true quality With that which melteth fools - I mean sweet words, Low-crooked curtsies, and base spaniel fawning."",""But, alas, Caesar must bleed for it.""";;;;;
"#Brutus_JC,""#Caesar_JC"",0.710284940569264,68,""Know: Caesar doth not wrong, nor without cause Will he be satisfied."",""If he love Caesar, all that he can do Is to himself: take thought and die for Caesar.""";;;;;
"#Brutus_JC,""#Caesar_JC"",0.728019942919391,16,""I rather tell thee what is to be feared Than what I fear";" for always I am Caesar."",""I do fear the people Choose Caesar for their king.""";;;;
"#Brutus_JC,""#Caesar_JC"",0.781272761931236,59,""The ides of March are come."",""Is not tomorrow, boy, the ides of March?""";;;;;
"#Brutus_JC,""#Casca_JC"",0.535507611081744,25,""I could tell you more news too: Marullus and Flavius, for pulling scarves off Caesar's images, are put to silence."",""Tell us what hath chanced today That Caesar looks so sad.""";;;;;
