"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Romeo_Rom","#Paris_Rom",0.382476488701936,3,"Younger than she are happy mothers made.","In sadness, cousin, I do love a woman."
"#Romeo_Rom","#Paris_Rom",0.382476488701936,4,"These times of woe afford no times to woo.","In sadness, cousin, I do love a woman."
"#Romeo_Rom","#Paris_Rom",0.382476488701936,5,"Commend me to your daughter.","In sadness, cousin, I do love a woman."
"#Romeo_Rom","#Paris_Rom",0.382476488701936,6,"My lord, I would that Thursday were tomorrow.","In sadness, cousin, I do love a woman."
"#Romeo_Rom","#Paris_Rom",0.382476488701936,7,"My father Capulet will have it so, And I am nothing slow to slack his haste.","In sadness, cousin, I do love a woman."
"#Romeo_Rom","#Paris_Rom",0.382476488701936,8,"Immoderately she weeps for Tybalt’s death, And therefore have I little talk of love, For Venus smiles not in a house of tears.","In sadness, cousin, I do love a woman."
"#Romeo_Rom","#Paris_Rom",0.382476488701936,9,"Now, sir, her father counts it dangerous That she do give her sorrow so much sway, And in his wisdom hastes our marriage To stop the inundation of her tears, Which, too much minded by herself alone, May be put from her by society.","In sadness, cousin, I do love a woman."
"#Romeo_Rom","#Paris_Rom",0.382476488701936,10,"Now do you know the reason of this haste.","In sadness, cousin, I do love a woman."
"#Romeo_Rom","#Paris_Rom",0.382476488701936,11,"Happily met, my lady and my wife.","In sadness, cousin, I do love a woman."
"#Romeo_Rom","#Paris_Rom",0.382476488701936,12,"That “may be” must be, love, on Thursday next.","In sadness, cousin, I do love a woman."
"#Romeo_Rom","#Juliet_Rom",0.228462350334361,153,"No words can that woe sound.","She is too fair, too wise, wisely too fair, To merit bliss by making me despair."
"#Romeo_Rom","#Juliet_Rom",0.253246915805431,67,"Bondage is hoarse and may not speak aloud, Else would I tear the cave where Echo lies And make her airy tongue more hoarse than mine With repetition of “My Romeo!”","Signior Martino and his wife and daughters, County Anselme and his beauteous sisters, The lady widow of Vitruvio, Signior Placentio and his lovely nieces, Mercutio and his brother Valentine, Mine Uncle Capulet, his wife and daughters, My fair niece Rosaline and Livia, Signior Valentio and his cousin Tybalt,Lucio and the lively Helena."
"#Romeo_Rom","#Juliet_Rom",0.262007242120375,36,"I know thou wilt say “Ay,” And I will take thy word.","I am not for this ambling."
"#Romeo_Rom","#Juliet_Rom",0.267428997009504,58,"I hear some noise within.","I am no pilot; yet, wert thou as far As that vast shore washed with the farthest sea, I should adventure for such merchandise."
